activity_id,sport_type,timestamp,latitude,longitude,heart_rate,duration_seconds
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:28+00:00,-8.04839593,-34.95245128,110.0,174.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:29+00:00,-8.0483966,-34.95248894,111.0,175.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:30+00:00,-8.04839628,-34.95252927,111.0,176.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:31+00:00,-8.04839428,-34.95256759,112.0,177.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:32+00:00,-8.04838861,-34.95260559,112.0,178.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:33+00:00,-8.04838461,-34.95264392,111.0,179.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:34+00:00,-8.04838295,-34.95268324,111.0,180.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:35+00:00,-8.04838328,-34.9527229,106.0,181.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:36+00:00,-8.04838494,-34.9527639,108.0,182.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:37+00:00,-8.04838793,-34.95279923,105.0,183.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:38+00:00,-8.04839393,-34.95283422,105.0,184.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:39+00:00,-8.04840492,-34.95286921,105.0,185.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:40+00:00,-8.04842026,-34.95290121,105.0,186.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:41+00:00,-8.04844025,-34.9529312,105.0,187.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:42+00:00,-8.04846224,-34.95296153,106.0,188.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:43+00:00,-8.0484859,-34.95298987,106.0,189.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:44+00:00,-8.04851124,-34.95301453,107.0,190.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:45+00:00,-8.04853724,-34.95303452,106.0,191.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:46+00:00,-8.04856589,-34.95304986,106.0,192.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:47+00:00,-8.04859722,-34.95306151,105.0,193.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:48+00:00,-8.04863022,-34.9530715,105.0,194.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:49+00:00,-8.04866587,-34.95308117,105.0,195.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:50+00:00,-8.04870186,-34.95308749,106.0,196.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:51+00:00,-8.04873652,-34.95309182,106.0,197.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:52+00:00,-8.04876819,-34.95309415,106.0,198.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:53+00:00,-8.04879918,-34.95309482,106.0,199.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:54+00:00,-8.04882818,-34.95309647,106.0,200.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:55+00:00,-8.04885517,-34.95310246,106.0,201.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:56+00:00,-8.04888182,-34.9531128,106.0,202.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:57+00:00,-8.04890882,-34.95312445,106.0,203.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:58+00:00,-8.04893648,-34.95313579,106.0,204.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:59+00:00,-8.04896314,-34.95314511,106.0,205.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:00+00:00,-8.04898747,-34.95315011,106.0,206.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:01+00:00,-8.04900714,-34.9531531,106.0,207.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:02+00:00,-8.04902413,-34.9531551,106.0,208.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:03+00:00,-8.04904013,-34.95315842,104.0,209.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:04+00:00,-8.04905679,-34.95316175,104.0,210.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:05+00:00,-8.04907578,-34.95316641,105.0,211.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:06+00:00,-8.04909811,-34.95317108,105.0,212.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:07+00:00,-8.04912244,-34.95317807,105.0,213.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:08+00:00,-8.04914943,-34.95318274,107.0,214.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:09+00:00,-8.0491771,-34.95318673,108.0,215.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:38:10+00:00,-8.04920809,-34.95319073,108.0,216.0
