latitude,longitude,elevation,timestamp,cad,distance,distance_cumulative
-8.045568,-34.940007,11.0,2020-07-14 22:39:13+00:00,49,1.8296109736616246,228.6466265368576
-8.045584,-34.940014,11.0,2020-07-14 22:39:14+00:00,49,1.9304538868294434,230.57708042368705
-8.045597,-34.940022,11.0,2020-07-14 22:39:15+00:00,49,1.6866464839705761,232.26372690765763
-8.045611,-34.940029,11.0,2020-07-14 22:39:16+00:00,50,1.729960469629526,233.99368737728716
-8.045624,-34.940037,9.8,2020-07-14 22:39:17+00:00,50,1.686646454711833,235.68033383199898
-8.045636,-34.940043,9.8,2020-07-14 22:39:18+00:00,50,1.4828232421831666,237.16315707418215
-8.045648,-34.94005,9.8,2020-07-14 22:39:19+00:00,48,1.5351632046731947,238.69832027885533
-8.04566,-34.940056,9.8,2020-07-14 22:39:20+00:00,48,1.4828232261732917,240.18114350502861
-8.045672,-34.940063,9.8,2020-07-14 22:39:21+00:00,48,1.5351631835669621,241.71630668859558
-8.045683,-34.940066,9.8,2020-07-14 22:39:22+00:00,48,1.2607010482257759,242.97700773682135
-8.045695,-34.940069,9.8,2020-07-14 22:39:23+00:00,48,1.3677321423917763,244.34473987921314
-8.045706,-34.940072,9.8,2020-07-14 22:39:24+00:00,48,1.2607010446376532,245.60544092385078
-8.045718,-34.940075,9.8,2020-07-14 22:39:25+00:00,48,1.3677321393716986,246.97317306322248
-8.045729,-34.940078,9.8,2020-07-14 22:39:26+00:00,50,1.2607010408720905,248.23387410409455
-8.045742,-34.940079,9.8,2020-07-14 22:39:27+00:00,50,1.441967865177466,249.67584196927203
-8.045756,-34.94008,9.8,2020-07-14 22:39:28+00:00,50,1.5522632965065244,251.22810526577857
-8.045769,-34.940081,9.8,2020-07-14 22:39:29+00:00,50,1.441967866513888,252.67007313229246
-8.045783,-34.940082,9.8,2020-07-14 22:39:30+00:00,51,1.5522632977149737,254.22233643000743
-8.045796,-34.940083,9.8,2020-07-14 22:39:31+00:00,51,1.4419678680270207,255.66430429803444
-8.045811,-34.940085,9.8,2020-07-14 22:39:32+00:00,51,1.6735252956103646,257.3378295936448
-8.045827,-34.940087,9.8,2020-07-14 22:39:33+00:00,55,1.7832169973737697,259.12104659101857
-8.045842,-34.940089,9.8,2020-07-14 22:39:34+00:00,55,1.6735252957448439,260.79457188676344
-8.045857,-34.940091,9.8,2020-07-14 22:39:35+00:00,55,1.673525295975208,262.46809718273863
-8.045872,-34.940093,9.8,2020-07-14 22:39:36+00:00,54,1.6735252958517506,264.14162247859036
-8.045887,-34.940096,9.8,2020-07-14 22:39:37+00:00,54,1.6915794989121233,265.8332019775025
-8.045901,-34.940098,9.8,2020-07-14 22:39:38+00:00,54,1.5639609757144521,267.39716295321693
-8.045916,-34.940101,9.8,2020-07-14 22:39:39+00:00,53,1.6915794960009418,269.0887424492179
-8.045931,-34.940104,9.8,2020-07-14 22:39:40+00:00,53,1.6915794953532446,270.78032194457114
-8.045945,-34.940107,9.8,2020-07-14 22:39:41+00:00,53,1.5832650440461575,272.36358698861727
-8.04596,-34.940111,9.8,2020-07-14 22:39:42+00:00,54,1.7165363807479816,274.08012336936525
-8.045974,-34.940114,9.8,2020-07-14 22:39:43+00:00,54,1.5832650414369869,275.6633884108022
-8.045987,-34.940116,9.8,2020-07-14 22:39:44+00:00,54,1.4545528216645371,277.11794123246676
-8.046,-34.940119,9.8,2020-07-14 22:39:45+00:00,53,1.475289178487986,278.59323041095473
-8.046012,-34.940121,9.8,2020-07-14 22:39:46+00:00,53,1.34533893559378,279.9385693465485
-8.046025,-34.940124,9.8,2020-07-14 22:39:47+00:00,53,1.4752891759092857,281.41385852245776
-8.04604,-34.940124,9.8,2020-07-14 22:39:48+00:00,53,1.6589404843389324,283.0727990067967
-8.046055,-34.940123,9.8,2020-07-14 22:39:49+00:00,55,1.6625986833097468,284.7353976901064
-8.04607,-34.940123,9.8,2020-07-14 22:39:50+00:00,55,1.6589404867329292,286.39433817683937
-8.046085,-34.940122,8.6,2020-07-14 22:39:51+00:00,55,1.6625986851765788,288.05693686201596
-8.046096,-34.940122,8.6,2020-07-14 22:39:52+00:00,57,1.2165563588887665,289.2734932209047
-8.046106,-34.940122,8.6,2020-07-14 22:39:53+00:00,57,1.105960326884105,290.3794535477888
-8.046117,-34.940122,8.6,2020-07-14 22:39:54+00:00,57,1.216556359655757,291.59600990744457
-8.046127,-34.940122,8.6,2020-07-14 22:39:55+00:00,57,1.1059603277891674,292.7019702352337
-8.046138,-34.940122,15.2,2020-07-14 22:39:56+00:00,57,1.2165563611276047,293.91852659636135
-8.04615,-34.940126,15.2,2020-07-14 22:39:57+00:00,57,1.3984802231362476,295.3170068194976
-8.046162,-34.940131,15.2,2020-07-14 22:39:58+00:00,56,1.4370471415731265,296.7540539610707
-8.046174,-34.940135,15.2,2020-07-14 22:39:59+00:00,56,1.3984802160923822,298.1525341771631
